Questions,Answers
How many cases in Belarus,country_wise('Belarus')
How many cases in Belgium,country_wise('Belgium')
How many cases in Belize,country_wise('Belize')
How many cases in Benin,country_wise('Benin')
How many cases in Bermuda,country_wise('Bermuda')
How many cases in Bhutan,country_wise('Bhutan')
"How many cases in Bolivia, Plurinational State of","country_wise('Bolivia, Plurinational State of')"
"How many cases in Bonaire, Sint Eustatius and Saba","country_wise('Bonaire, Sint Eustatius and Saba')"
How many cases in Bosnia and Herzegovina,country_wise('Bosnia and Herzegovina')
How many cases in Botswana,country_wise('Botswana')
How many cases in Bouvet Island,country_wise('Bouvet Island')
How many cases in Brazil,country_wise('Brazil')
How many cases in British Indian Ocean Territory,country_wise('British Indian Ocean Territory')
How many cases in Brunei Darussalam,country_wise('Brunei Darussalam')
How many cases in Bulgaria,country_wise('Bulgaria')
How many cases in Burkina Faso,country_wise('Burkina Faso')
How many cases in Burundi,country_wise('Burundi')
How many cases in Cambodia,country_wise('Cambodia')
How many cases in Cameroon,country_wise('Cameroon')
How many cases in Canada,country_wise('Canada')
How many cases in Cabo Verde,country_wise('Cabo Verde')
How many cases in Cayman Islands,country_wise('Cayman Islands')
How many cases in Central African Republic,country_wise('Central African Republic')
How many cases in Chad,country_wise('Chad')
How many cases in Chile,country_wise('Chile')
How many cases in China,country_wise('China')
How many cases in Christmas Island,country_wise('Christmas Island')
How many cases in Cocos (Keeling) Islands,country_wise('Cocos (Keeling) Islands')
How many cases in Colombia,country_wise('Colombia')
How many cases in Comoros,country_wise('Comoros')
How many cases in Congo,country_wise('Congo')
"How many cases in Congo, Democratic Republic of the","country_wise('Congo, Democratic Republic of the')"
How many cases in Cook Islands,country_wise('Cook Islands')
How many cases in Costa Rica,country_wise('Costa Rica')
How many cases in Côte d'Ivoire,country_wise('Côte d'Ivoire')
How many cases in Croatia,country_wise('Croatia')
How many cases in Cuba,country_wise('Cuba')
How many cases in Curaçao,country_wise('Curaçao')
How many cases in Cyprus,country_wise('Cyprus')
How many cases in Czechia,country_wise('Czechia')
How many cases in Denmark,country_wise('Denmark')
How many cases in Djibouti,country_wise('Djibouti')
How many cases in Dominica,country_wise('Dominica')
How many cases in Dominican Republic,country_wise('Dominican Republic')
How many cases in Ecuador,country_wise('Ecuador')
How many cases in Egypt,country_wise('Egypt')
How many cases in El Salvador,country_wise('El Salvador')
How many cases in Equatorial Guinea,country_wise('Equatorial Guinea')
How many cases in Eritrea,country_wise('Eritrea')
How many cases in Estonia,country_wise('Estonia')
How many cases in Ethiopia,country_wise('Ethiopia')
How many cases in Falkland Islands (Malvinas),country_wise('Falkland Islands (Malvinas)')
How many cases in Faroe Islands,country_wise('Faroe Islands')
How many cases in Fiji,country_wise('Fiji')
How many cases in Finland,country_wise('Finland')
How many cases in France,country_wise('France')
How many cases in French Guiana,country_wise('French Guiana')
How many cases in French Polynesia,country_wise('French Polynesia')
How many cases in French Southern Territories,country_wise('French Southern Territories')
How many cases in Gabon,country_wise('Gabon')
How many cases in Gambia,country_wise('Gambia')
How many cases in Georgia,country_wise('Georgia')
How many cases in Germany,country_wise('Germany')
How many cases in Ghana,country_wise('Ghana')
How many cases in Gibraltar,country_wise('Gibraltar')
How many cases in Greece,country_wise('Greece')
How many cases in Greenland,country_wise('Greenland')
How many cases in Grenada,country_wise('Grenada')
How many cases in Guadeloupe,country_wise('Guadeloupe')
How many cases in Guam,country_wise('Guam')
How many cases in Guatemala,country_wise('Guatemala')
How many cases in Guernsey,country_wise('Guernsey')
How many cases in Guinea,country_wise('Guinea')
How many cases in Guinea-Bissau,country_wise('Guinea-Bissau')
How many cases in Guyana,country_wise('Guyana')
How many cases in Haiti,country_wise('Haiti')
How many cases in Heard Island and McDonald Islands,country_wise('Heard Island and McDonald Islands')
How many cases in Holy See,country_wise('Holy See')
How many cases in Honduras,country_wise('Honduras')
How many cases in Hong Kong,country_wise('Hong Kong')
How many cases in Hungary,country_wise('Hungary')
How many cases in Iceland,country_wise('Iceland')
How many cases in India,country_wise('India')
How many cases in Indonesia,country_wise('Indonesia')
"How many cases in Iran, Islamic Republic of","country_wise('Iran, Islamic Republic of')"
How many cases in Iraq,country_wise('Iraq')
How many cases in Ireland,country_wise('Ireland')
How many cases in Isle of Man,country_wise('Isle of Man')
How many cases in Israel,country_wise('Israel')
How many cases in Italy,country_wise('Italy')
How many cases in Jamaica,country_wise('Jamaica')
How many cases in Japan,country_wise('Japan')
How many cases in Jersey,country_wise('Jersey')
How many cases in Jordan,country_wise('Jordan')
How many cases in Kazakhstan,country_wise('Kazakhstan')
How many cases in Kenya,country_wise('Kenya')
How many cases in Kiribati,country_wise('Kiribati')
"How many cases in Korea, Democratic People's Republic of","country_wise('Korea, Democratic People's Republic of')"
"How many cases in Korea, Republic of","country_wise('Korea, Republic of')"
How many cases in Kosovo,country_wise('Kosovo')
How many cases in Kuwait,country_wise('Kuwait')
How many cases in Kyrgyzstan,country_wise('Kyrgyzstan')
How many cases in Lao People's Democratic Republic,country_wise('Lao People's Democratic Republic')
How many cases in Latvia,country_wise('Latvia')
How many cases in Lebanon,country_wise('Lebanon')
How many cases in Lesotho,country_wise('Lesotho')
How many cases in Liberia,country_wise('Liberia')
How many cases in Libya,country_wise('Libya')
How many cases in Liechtenstein,country_wise('Liechtenstein')
How many cases in Lithuania,country_wise('Lithuania')
How many cases in Luxembourg,country_wise('Luxembourg')
How many cases in Macao,country_wise('Macao')
How many cases in North Macedonia,country_wise('North Macedonia')
How many cases in Madagascar,country_wise('Madagascar')
How many cases in Malawi,country_wise('Malawi')
How many cases in Malaysia,country_wise('Malaysia')
How many cases in Maldives,country_wise('Maldives')
How many cases in Mali,country_wise('Mali')
How many cases in Malta,country_wise('Malta')
How many cases in Marshall Islands,country_wise('Marshall Islands')
How many cases in Martinique,country_wise('Martinique')
How many cases in Mauritania,country_wise('Mauritania')
How many cases in Mauritius,country_wise('Mauritius')
How many cases in Mayotte,country_wise('Mayotte')
How many cases in Mexico,country_wise('Mexico')
"How many cases in Micronesia, Federated States of","country_wise('Micronesia, Federated States of')"
"How many cases in Moldova, Republic of","country_wise('Moldova, Republic of')"
How many cases in Monaco,country_wise('Monaco')
How many cases in Mongolia,country_wise('Mongolia')
How many cases in Montenegro,country_wise('Montenegro')
How many cases in Montserrat,country_wise('Montserrat')
How many cases in Morocco,country_wise('Morocco')
How many cases in Mozambique,country_wise('Mozambique')
How many cases in Myanmar,country_wise('Myanmar')
How many cases in Namibia,country_wise('Namibia')
How many cases in Nauru,country_wise('Nauru')
How many cases in Nepal,country_wise('Nepal')
How many cases in Netherlands,country_wise('Netherlands')
How many cases in New Caledonia,country_wise('New Caledonia')
How many cases in New Zealand,country_wise('New Zealand')
How many cases in Nicaragua,country_wise('Nicaragua')
How many cases in Niger,country_wise('Niger')
How many cases in Nigeria,country_wise('Nigeria')
How many cases in Niue,country_wise('Niue')
How many cases in Norfolk Island,country_wise('Norfolk Island')
How many cases in Northern Mariana Islands,country_wise('Northern Mariana Islands')
How many cases in Norway,country_wise('Norway')
How many cases in Oman,country_wise('Oman')
How many cases in Pakistan,country_wise('Pakistan')
How many cases in Palau,country_wise('Palau')
"How many cases in Palestine, State of","country_wise('Palestine, State of')"
How many cases in Panama,country_wise('Panama')
How many cases in Papua New Guinea,country_wise('Papua New Guinea')
How many cases in Paraguay,country_wise('Paraguay')
How many cases in Peru,country_wise('Peru')
How many cases in Philippines,country_wise('Philippines')
How many cases in Pitcairn,country_wise('Pitcairn')
How many cases in Poland,country_wise('Poland')
How many cases in Portugal,country_wise('Portugal')
How many cases in Puerto Rico,country_wise('Puerto Rico')
How many cases in Qatar,country_wise('Qatar')
How many cases in Réunion,country_wise('Réunion')
How many cases in Romania,country_wise('Romania')
How many cases in Russian Federation,country_wise('Russian Federation')
How many cases in Rwanda,country_wise('Rwanda')
How many cases in Saint Barthélemy,country_wise('Saint Barthélemy')
"How many cases in Saint Helena, Ascension and Tristan da Cunha","country_wise('Saint Helena, Ascension and Tristan da Cunha')"
How many cases in Saint Kitts and Nevis,country_wise('Saint Kitts and Nevis')
How many cases in Saint Lucia,country_wise('Saint Lucia')
How many cases in Saint Martin (French part),country_wise('Saint Martin (French part)')
How many cases in Saint Pierre and Miquelon,country_wise('Saint Pierre and Miquelon')
How many cases in Saint Vincent and the Grenadines,country_wise('Saint Vincent and the Grenadines')
How many cases in Samoa,country_wise('Samoa')
How many cases in San Marino,country_wise('San Marino')
How many cases in Sao Tome and Principe,country_wise('Sao Tome and Principe')
How many cases in Saudi Arabia,country_wise('Saudi Arabia')
How many cases in Senegal,country_wise('Senegal')
How many cases in Serbia,country_wise('Serbia')
How many cases in Seychelles,country_wise('Seychelles')
How many cases in Sierra Leone,country_wise('Sierra Leone')
How many cases in Singapore,country_wise('Singapore')
How many cases in Sint Maarten (Dutch part),country_wise('Sint Maarten (Dutch part)')
How many cases in Slovakia,country_wise('Slovakia')
How many cases in Slovenia,country_wise('Slovenia')
How many cases in Solomon Islands,country_wise('Solomon Islands')
How many cases in Somalia,country_wise('Somalia')
How many cases in South Africa,country_wise('South Africa')
How many cases in South Georgia and the South Sandwich Islands,country_wise('South Georgia and the South Sandwich Islands')
How many cases in South Sudan,country_wise('South Sudan')
How many cases in Spain,country_wise('Spain')
How many cases in Sri Lanka,country_wise('Sri Lanka')
How many cases in Sudan,country_wise('Sudan')
How many cases in Suriname,country_wise('Suriname')
How many cases in Svalbard and Jan Mayen,country_wise('Svalbard and Jan Mayen')
How many cases in Eswatini,country_wise('Eswatini')
How many cases in Sweden,country_wise('Sweden')
How many cases in Switzerland,country_wise('Switzerland')
How many cases in Syrian Arab Republic,country_wise('Syrian Arab Republic')
"How many cases in Taiwan, Province of China","country_wise('Taiwan, Province of China')"
How many cases in Tajikistan,country_wise('Tajikistan')
"How many cases in Tanzania, United Republic of","country_wise('Tanzania, United Republic of')"
How many cases in Thailand,country_wise('Thailand')
How many cases in Timor-Leste,country_wise('Timor-Leste')
How many cases in Togo,country_wise('Togo')
How many cases in Tokelau,country_wise('Tokelau')
How many cases in Tonga,country_wise('Tonga')
How many cases in Trinidad and Tobago,country_wise('Trinidad and Tobago')
How many cases in Tunisia,country_wise('Tunisia')
How many cases in Turkey,country_wise('Turkey')
How many cases in Turkmenistan,country_wise('Turkmenistan')
How many cases in Turks and Caicos Islands,country_wise('Turks and Caicos Islands')
How many cases in Tuvalu,country_wise('Tuvalu')
How many cases in Uganda,country_wise('Uganda')
How many cases in Ukraine,country_wise('Ukraine')
How many cases in United Arab Emirates,country_wise('United Arab Emirates')
How many cases in United Kingdom of Great Britain and Northern Ireland,country_wise('United Kingdom of Great Britain and Northern Ireland')
How many cases in United States of America,country_wise('United States of America')
How many cases in United States Minor Outlying Islands,country_wise('United States Minor Outlying Islands')
How many cases in Uruguay,country_wise('Uruguay')
How many cases in Uzbekistan,country_wise('Uzbekistan')
How many cases in Vanuatu,country_wise('Vanuatu')
"How many cases in Venezuela, Bolivarian Republic of","country_wise('Venezuela, Bolivarian Republic of')"
How many cases in Viet Nam,country_wise('Viet Nam')
"How many cases in Virgin Islands, British","country_wise('Virgin Islands, British')"
"How many cases in Virgin Islands, U.S.","country_wise('Virgin Islands, U.S.')"
How many cases in Wallis and Futuna,country_wise('Wallis and Futuna')
How many cases in Western Sahara,country_wise('Western Sahara')
How many cases in Yemen,country_wise('Yemen')
How many cases in Zambia,country_wise('Zambia')
How many cases in Zimbabwe,country_wise('Zimbabwe')
"how many
total covid cases
 in world",world_Data()
"how many
total covid cases
 in world",india_total()
How many cases in Central Delhi,district_wise('Central Delhi')
How many cases in East Delhi,district_wise('East Delhi')
How many cases in New Delhi,district_wise('New Delhi')
How many cases in North Delhi,district_wise('North Delhi')
How many cases in North East Delhi,district_wise('North East Delhi')
How many cases in North West Delhi,district_wise('North West Delhi')
How many cases in Shahdara,district_wise('Shahdara')
How many cases in South Delhi,district_wise('South Delhi')
How many cases in South East Delhi,district_wise('South East Delhi')
How many cases in South West Delhi,district_wise('South West Delhi')
How many cases in West Delhi,district_wise('West Delhi')
How many cases in Unknown,district_wise('Unknown')
How many cases in Ajmer,district_wise('Ajmer')
How many cases in Alwar,district_wise('Alwar')
How many cases in Banswara,district_wise('Banswara')
How many cases in Baran,district_wise('Baran')
How many cases in Barmer,district_wise('Barmer')
How many cases in Bharatpur,district_wise('Bharatpur')
How many cases in Bhilwara,district_wise('Bhilwara')
How many cases in Bikaner,district_wise('Bikaner')
How many cases in BSF Camp,district_wise('BSF Camp')
How many cases in Bundi,district_wise('Bundi')
How many cases in Chittorgarh,district_wise('Chittorgarh')
How many cases in Churu,district_wise('Churu')
How many cases in Dausa,district_wise('Dausa')
How many cases in Dholpur,district_wise('Dholpur')
How many cases in Dungarpur,district_wise('Dungarpur')
How many cases in Evacuees,district_wise('Evacuees')
How many cases in Ganganagar,district_wise('Ganganagar')
How many cases in Hanumangarh,district_wise('Hanumangarh')
How many cases in Italians,district_wise('Italians')
How many cases in Jaipur,district_wise('Jaipur')
How many cases in Jaisalmer,district_wise('Jaisalmer')
How many cases in Jalore,district_wise('Jalore')
How many cases in Jhalawar,district_wise('Jhalawar')
How many cases in Jhunjhunu,district_wise('Jhunjhunu')
How many cases in Jodhpur,district_wise('Jodhpur')
How many cases in Karauli,district_wise('Karauli')
How many cases in Kota,district_wise('Kota')
How many cases in Nagaur,district_wise('Nagaur')
How many cases in Other State,district_wise('Other State')
How many cases in Pali,district_wise('Pali')
How many cases in Pratapgarh,district_wise('Pratapgarh')
How many cases in Rajsamand,district_wise('Rajsamand')
How many cases in Sawai Madhopur,district_wise('Sawai Madhopur')
How many cases in Sikar,district_wise('Sikar')
How many cases in Sirohi,district_wise('Sirohi')
How many cases in Tonk,district_wise('Tonk')
How many cases in Udaipur,district_wise('Udaipur')
How many cases in Railway Quarantine,district_wise('Railway Quarantine')
How many cases in Airport Quarantine,district_wise('Airport Quarantine')
How many cases in Other State,district_wise('Other State')
How many cases in Ariyalur,district_wise('Ariyalur')
How many cases in Chengalpattu,district_wise('Chengalpattu')
How many cases in Chennai,district_wise('Chennai')
How many cases in Coimbatore,district_wise('Coimbatore')
How many cases in Cuddalore,district_wise('Cuddalore')
How many cases in Dharmapuri,district_wise('Dharmapuri')
How many cases in Dindigul,district_wise('Dindigul')
How many cases in Erode,district_wise('Erode')
How many cases in Kallakurichi,district_wise('Kallakurichi')
How many cases in Kancheepuram,district_wise('Kancheepuram')
How many cases in Kanyakumari,district_wise('Kanyakumari')
How many cases in Karur,district_wise('Karur')
How many cases in Krishnagiri,district_wise('Krishnagiri')
How many cases in Madurai,district_wise('Madurai')
How many cases in Nagapattinam,district_wise('Nagapattinam')
How many cases in Namakkal,district_wise('Namakkal')
How many cases in Nilgiris,district_wise('Nilgiris')
How many cases in Perambalur,district_wise('Perambalur')
How many cases in Pudukkottai,district_wise('Pudukkottai')
How many cases in Ramanathapuram,district_wise('Ramanathapuram')
How many cases in Ranipet,district_wise('Ranipet')
How many cases in Salem,district_wise('Salem')
How many cases in Sivaganga,district_wise('Sivaganga')
How many cases in Tenkasi,district_wise('Tenkasi')
How many cases in Thanjavur,district_wise('Thanjavur')
How many cases in Theni,district_wise('Theni')
How many cases in Thiruvallur,district_wise('Thiruvallur')
How many cases in Thiruvarur,district_wise('Thiruvarur')
How many cases in Thoothukkudi,district_wise('Thoothukkudi')
How many cases in Tiruchirappalli,district_wise('Tiruchirappalli')
How many cases in Tirunelveli,district_wise('Tirunelveli')
How many cases in Tirupathur,district_wise('Tirupathur')
How many cases in Tiruppur,district_wise('Tiruppur')
How many cases in Tiruvannamalai,district_wise('Tiruvannamalai')
How many cases in Vellore,district_wise('Vellore')
How many cases in Viluppuram,district_wise('Viluppuram')
How many cases in Virudhunagar,district_wise('Virudhunagar')
